QUERY_ID,QUERY_TEXT,DATABASE_NAME,SCHEMA_NAME,QUERY_TYPE,SESSION_ID,USER_NAME,ROLE_NAME,WAREHOUSE_NAME,WAREHOUSE_SIZE,WAREHOUSE_TYPE,CLUSTER_NUMBER,QUERY_TAG,EXECUTION_STATUS,ERROR_CODE,ERROR_MESSAGE,START_TIME,END_TIME,TOTAL_ELAPSED_TIME,BYTES_SCANNED,ROWS_PRODUCED,COMPILATION_TIME,EXECUTION_TIME,QUEUED_PROVISIONING_TIME,QUEUED_REPAIR_TIME,QUEUED_OVERLOAD_TIME,TRANSACTION_BLOCKED_TIME,OUTBOUND_DATA_TRANSFER_CLOUD,OUTBOUND_DATA_TRANSFER_REGION,OUTBOUND_DATA_TRANSFER_BYTES,INBOUND_DATA_TRANSFER_CLOUD,INBOUND_DATA_TRANSFER_REGION,INBOUND_DATA_TRANSFER_BYTES,CREDITS_USED_CLOUD_SERVICES,LIST_EXTERNAL_FILE_TIME,RELEASE_VERSION,EXTERNAL_FUNCTION_TOTAL_INVOCATIONS,EXTERNAL_FUNCTION_TOTAL_SENT_ROWS,EXTERNAL_FUNCTION_TOTAL_RECEIVED_ROWS,EXTERNAL_FUNCTION_TOTAL_SENT_BYTES,EXTERNAL_FUNCTION_TOTAL_RECEIVED_BYTES,IS_CLIENT_GENERATED_STATEMENT
01adc0db-0b04-c7e9-0001-bbfa003bc032,"select *
from table(information_schema.query_history(dateadd('hours',-1,current_timestamp()),current_timestamp()))
order by start_time;",ADMIN_UTILS,,SELECT,488157398265866,SCHEMA_CHANGE_TEST_USER,DEV_SYSADMIN,EDW_ENGINEER_WH_S,X-Small,STANDARD,1,,SUCCESS,,,2023-07-20 06:15:13.407 -0700,2023-07-20 06:15:14.497 -0700,1090,0,0,789,277,327,0,0,0,,,0,,,0,0.000083000,7,7.23.1,0,0,0,0,0,FALSE
01adc0db-0b04-c7e9-0001-bbfa003bc036,use database ADMIN_UTILS;,ADMIN_UTILS,,USE,488157398265866,SCHEMA_CHANGE_TEST_USER,DEV_SYSADMIN,EDW_ENGINEER_WH_S,,STANDARD,,,SUCCESS,,,2023-07-20 06:15:22.584 -0700,2023-07-20 06:15:22.648 -0700,64,0,0,46,18,0,0,0,0,,,0,,,0,0.000010000,0,7.23.1,0,0,0,0,0,FALSE
01adc0db-0b04-c32a-0001-bbfa003bb036,use role dev_sysadmin;,ADMIN_UTILS,,USE,488157398265866,SCHEMA_CHANGE_TEST_USER,DEV_SYSADMIN,EDW_ENGINEER_WH_S,,STANDARD,,,SUCCESS,,,2023-07-20 06:15:22.721 -0700,2023-07-20 06:15:22.809 -0700,88,0,0,76,12,0,0,0,0,,,0,,,0,0.000013000,0,7.23.1,0,0,0,0,0,FALSE
01adc0db-0b04-c32a-0001-bbfa003bb03a,use schema SCHEMACHANGE;,ADMIN_UTILS,,USE,488157398265866,SCHEMA_CHANGE_TEST_USER,DEV_SYSADMIN,EDW_ENGINEER_WH_S,,STANDARD,,,SUCCESS,,,2023-07-20 06:15:22.900 -0700,2023-07-20 06:15:22.961 -0700,61,0,0,39,22,0,0,0,0,,,0,,,0,0.000009000,0,7.23.1,0,0,0,0,0,FALSE
